[2025-11-30 12:58:23] [INFO] Iniciando diagnóstico v5 para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Detectando encoding para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Encoding detectado: UTF-8-SIG (confiança=1.0)
[2025-11-30 12:58:23] [INFO] Detectando delimitador para examples/broken.csv
[2025-11-30 12:58:23] [WARN] Sniffer falhou: Could not determine delimiter
[2025-11-30 12:58:23] [INFO] Delimitador escolhido por heurística: ','
[2025-11-30 12:58:23] [WARN] Linha 123: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 124: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 125: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 126: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 127: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 128: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 129: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 130: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 131: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 132: número de colunas 2, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 134: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 135: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 136: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 137: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 138: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 139: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 141: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 142: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 143: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 145: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 146: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 148: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 149: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 150: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 151: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 152: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 153: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 155: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 156: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 157: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 159: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 160: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 161: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 163: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 164: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 166: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 168: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 169: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 170: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 171: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 173: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 174: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 175: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 177: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 178: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 179: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 180: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 181: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 182: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 184: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 185: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 186: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 188: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 189: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 190: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 191: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 192: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 193: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 194: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 196: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 198: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 199: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 200: número de colunas 2, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 201: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 202: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 203: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 204: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 205: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 207: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 208: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 210: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 211: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 212: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 214: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 215: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 218: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 219: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 220: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 222: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 223: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 224: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 225: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 226: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 227: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 228: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 230: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 231: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 232: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 233: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 234: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 235: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 236: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 237: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 238: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 239: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 241: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 242: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 244: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 245: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 247: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 248: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 249: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 250: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 252: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 253: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 254: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 256: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 257: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 258: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 259: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 260: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 261: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 262: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 264: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 265: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 266: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 267: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 268: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 269: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 270: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 272: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 274: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 276: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 277: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 278: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 279: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 281: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 284: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 287: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 288: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 289: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 290: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 291: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 292: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 293: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 294: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 295: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 296: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 297: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 298: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 299: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 300: número de colunas 6, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 301: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 302: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 304: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 305: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 306: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 307: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 310: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 311: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 313: número de colunas 2, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 314: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 315: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 316: número de colunas 2, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 317: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 318: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 320: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 321: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 324: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 325: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 326: número de colunas 1, esperado 5.
